Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
2.76676,2.6872178,14947.43878,12.2867389,505.8840075,1209.574123,5346,4.48823,0.984866
2.19296,4.586,4933.74,22.7769,31883.5,3722,7009.8,3.6,2.95
1.725841,3.674,2710,15.0024,50469.2,4175,7348,3.9,2.39
1.1923,3.119,3730,30.666,40771.2,3958,6534,3.95,2.04
1.4821386,2.1867078,2102.65683,13.7339261,18197.13545,2962.241804,7066,3.78,2.6647301
0.9209526,1.8602735,360.8801529,5.7349089,32740.36294,3430.762244,6553,3.65,2.8908899
9.188506,2.492,460,2.16591,63.4589,786,5876,4.48,0.98
13.9028391,2.1264429,647.2701039,2.6136848,77.4841883,756.6987586,5876,4.48,0.983215
10.1826983,2.8275109,667.4752458,3.0538057,198.394783,957.1991659,6153,4.34814,1.14582
6.441006,1.812,914,2.56374,87.8902,853,4867,4.438,0.8
3.1743504,2.751086,15457.32476,14.9172256,718.9096994,1320.651823,5943,4.42524,1.15706
20.0731588,3.8449215,1152.964546,4.0506906,69.3993155,736.1368293,6033,4.37,1.14849
2.66903,1.548,3110,9.36823,429.86,1268,5803.5,4.07,1.56
6.63371,2.122,1555.34,2.75375,22.9987,610,4138.1,4.54,0.63
341.2811281,6.303026,972.5797241,4.7531892,121.1597998,846.173434,6058.6,4.2,1.39203
10.8680523,2.375,1553,2.90726,20.7383,594,4664,4.55,0.76
4.0782392,4.8475616,6046.695969,13.898174,1619.008123,1617.82673,6501,4.08,1.74836
7.04083,2.979,1580,8.46404,852.336,1505,5317,4.49,0.91
2.1061569,1.4688934,12142.22385,13.086872,691.8428073,1308.041753,5380,4.4337,0.940697
2.4545635,2.321,4248,11.1276,2162.73,1899,6610,4.15,1.64
11.4756978,0.808,8341,14.1098,11.4585,512,7262,4,2.13
2.78186,2.456,490,4.92567,1323.21,1680,6819,3.92,2.21
6.4410082,1.798,7076,4.59203,8.2114,471,3469,4.71,0.53
5.0100708,2.0644756,409.4812214,2.3107394,210.6631712,971.6657708,5551,4.46214,0.906282
2.2281625,2.015,630,2.56778,702.927,1434,5731,4.43,1.02
