koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad
CONFIRMED,CANDIDATE,0,0,0,0,91.7732862,193.8378,0.606,6.473,6.52E+02,2.12,359,3.92,19.1,5586,4.56,0.798
CONFIRMED,CANDIDATE,0,0,0,0,4.959319244,172.2585292,0.831,2.22739,9.80E+03,12.21,1103,349.4,696.5,5712,4.359,1.082
FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,2.701287801,170.69579,1.016,3.3827,8.60E+02,6.54,1222,527.81,48.3,5550,4.468,0.91
CONFIRMED,CANDIDATE,0,0,0,0,4.49876511,171.34905,0.312,3.7362,4.60E+02,2.1,1133,389.62,29.5,6075,4.486,0.969
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,19.65120951,179.401981,0.723,5.2514,1.18E+04,12.42,730,67.03,513.4,6074,4.391,1.063
CONFIRMED,CANDIDATE,0,0,0,0,5.412203927,133.143089,0.787,2.9472,6.02E+02,2.94,1093,337.68,166.7,5779,4.339,1.087
CONFIRMED,CANDIDATE,0,0,0,0,41.43958662,208.93203,0.355,10.5989,2.79E+03,5.5,516,16.72,141.1,5468,4.367,1.046
CONFIRMED,CANDIDATE,0,0,0,0,8.35389523,171.63257,0.023,2.2514,1.04E+03,2.52,790,91.9,43.4,5592,4.582,0.787
CONFIRMED,CANDIDATE,0,0,0,0,4.125543472,169.752585,0.597,3.1744,1.49E+03,4.43,1243,565.35,128.6,6174,4.417,1.103
CONFIRMED,CANDIDATE,0,0,0,0,2.816504904,170.9676846,0.105,2.50587,1.68E+04,12.21,1219,521.13,1406.8,5532,4.452,0.955
FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,33.93373447,186.67608,0.812,14.561,8.50E+03,7.34,430,8.11,236.1,5040,4.628,0.705
