# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  3 11:20:40 2025
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
#
toi,tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
1028.01,FP,2458544.4806600,1.0160600,2.8430000,240.0000000,1.2070400,2784.0400000,2023.0000000,7.9059000,23.7748000,4634.0000000,4.6400000,0.6800000
1029.01,FP,2458365.8931300,36.2221400,5.1070000,7170.0000000,,,,6.8410000,,,,
103.01,KP,2458327.2525600,3.5478540,3.4943330,10424.3718000,14.5818410,1212.0043760,1504.8589530,11.5232000,411.2110000,6351.0000000,4.2289600,1.4000000
1030.01,FP,2460054.7839370,12.1246519,4.6120000,7279.0000000,17.6729000,207.3200000,1057.0000000,9.5706000,78.4127300,4807.6000000,4.1700000,1.0700000
1031.01,FP,2459304.8379390,5.6526230,3.4340000,1250.0000000,8.9435400,2717.0600000,2011.0000000,9.7318000,270.7710000,6415.4000000,3.9800000,1.9200000
1032.01,PC,2459283.8286850,5.6643704,3.8087395,3491.8232968,14.7738943,7657.6621505,2385.8536488,9.7611000,587.1960000,10395.0000000,4.1300000,2.3383701
1033.01,FP,2460195.1006480,29.0160175,5.3450000,1389.0000000,6.7740600,33.2234000,,10.0163000,219.9400000,6113.1000000,,2.0100000
1034.01,FP,2460768.6174270,3.6404389,2.5339234,476.3077321,3.7025342,9941.2265514,2783.0980270,9.8174000,363.4400000,9810.0000000,4.4300000,1.6077600
1035.01,PC,2459286.8726050,6.0744477,2.4954821,5982.5212406,30.9493217,1487.5644344,1583.9398898,10.1126000,347.5560000,5964.0000000,3.7000000,2.4303801
1036.01,PC,2460037.1722730,3.7795212,2.9520000,2761.0000000,5.9837500,466.5280000,1294.0000000,10.2855000,184.0150000,5771.0000000,4.3100000,1.1800000
1037.01,FP,2459331.1245120,1.2025238,1.9910000,390.0000000,6.3110600,208477.0000000,5952.0000000,9.0211000,279.6980000,9158.0000000,4.3200000,1.7400000
1038.01,FP,2459273.3716430,3.2235985,2.1590000,680.0000000,5.5134100,2064.8000000,,8.7157000,280.7650000,8904.0000000,4.0900000,2.1700000
1039.01,APC,2460031.2166000,4.4201250,3.9560000,2466.0000000,,,,8.5483000,2864.3400000,,,
104.01,KP,2460150.6086770,4.0872956,5.5861130,3572.1712499,13.6237732,2242.3605401,1755.0767383,9.8638000,316.6780000,6036.0000000,3.9335900,2.2186699
1040.01,FP,2458520.6567400,2.5555500,1.5660000,340.0000000,11.5901000,3520.6800000,2145.0000000,8.3854000,732.4320000,10037.0000000,,6.0400000
1041.01,FP,2459261.8012160,8.3079200,3.2280000,8350.0000000,43.1068000,2276.2500000,1924.0000000,8.0981000,305.0340000,9081.0000000,3.8300000,3.0500000
1042.01,PC,2459281.3379560,0.7580820,1.8184632,583.9318100,10.1273702,216218.1005011,5499.7476332,9.7180000,792.6330000,9917.0000000,3.7500000,3.5086601
1043.01,FP,2459985.7704250,1.4415577,2.3490000,507.0000000,3.6107800,16861.8000000,3174.0000000,9.5719000,208.0550000,6902.0000000,4.2500000,1.5200000
1044.01,PC,2460037.1946720,1.0085089,1.6420000,3051.0000000,,,,10.0031000,494.6890000,5215.2000000,,
1045.01,FP,2459301.5441260,3.7039994,4.2770000,7590.0000000,17.5700000,3546.1300000,2149.0000000,9.6306000,300.6960000,7013.8000000,4.2100000,1.9000000
1046.01,FP,2460177.8671950,1.3042553,1.7060000,914.0000000,9.3647200,26944.7000000,3569.0000000,10.0119000,301.2980000,6762.0000000,4.1100000,1.7500000
1047.01,FP,2458544.7906100,0.6262700,0.6660000,1880.0000000,5.7216200,3235.5700000,2101.0000000,10.2355000,134.9260000,5622.0000000,4.5000000,0.9300000
1048.01,FP,2458518.3760000,0.3041200,0.7480000,1330.0000000,10.4170000,280833.0000000,6413.0000000,8.8020000,440.4260000,11892.0000000,4.1400000,2.5200000
1049.01,KP,2459363.8213930,2.1805277,2.9691750,16340.1353205,16.8088530,1770.4650539,1654.4040680,11.0657000,314.9950000,6599.0000000,4.2101700,1.2714601
105.01,KP,2459084.5850100,2.1846669,2.8652800,11708.0228549,13.7028527,1362.1381428,1549.4409801,9.4995000,137.5440000,5630.0000000,4.3775900,1.2382400
1050.01,KP,2459355.5456300,3.7354838,4.1420000,17030.0000000,21.2315000,1292.1900000,1670.0000000,11.0261000,405.9080000,6650.0000000,4.1639000,1.5700000
1051.01,FA,2458657.7366250,21.7016690,8.2676424,211.6567325,2.3751494,52.0950000,685.2000000,7.1278000,53.1914900,5625.0000000,4.4380000,1.5648600
1052.01,CP,2458332.9412290,9.1398040,3.0912936,358.4157801,3.0629855,243.0117630,1006.9932829,9.0197000,129.8040000,5958.2000000,4.3400000,1.5800000
1053.01,FP,2458657.9991790,5.7426250,2.8602930,1105.7608670,13.0885320,,,8.8849000,263.7290000,5664.0000000,3.2657400,3.8695900
1054.01,CP,2460122.7001390,15.5077855,4.5650000,513.0000000,2.4343200,88.0718000,853.0000000,8.4362000,88.4343000,6122.0000000,4.3088100,1.1700000
1055.01,CP,2458661.0627110,17.4713078,4.4284819,1199.7541483,3.5766828,53.3700317,689.3568807,8.0888000,57.2651000,5783.5400000,4.4992500,0.9746690
1056.01,PC,2458326.0624240,5.3079507,3.2158594,391.3830934,3.0486928,603.2401116,1263.9861129,9.6663000,168.3540000,6124.3000000,4.3800000,1.3696300
1057.01,PC,2458607.3509010,51.1701501,6.6641048,851.4547808,2.9366826,11.2148229,466.7322968,9.4091000,98.2855000,5599.0000000,4.4613800,0.9433560
1058.01,PC,2458663.0231290,11.1296441,7.0473822,951.6169809,12.8402271,1255.6817164,1518.2372485,9.3781000,338.8310000,5785.0000000,4.3440000,3.4475601
1059.01,PC,2460106.3375190,9.4496506,2.0210000,19750.0000000,17.0216000,38.5799000,694.0000000,9.7825000,98.8783000,5509.0000000,4.3975800,0.9400000
106.01,KP,2460201.6385830,2.8493825,3.5670000,8049.0000000,16.3869000,2005.8300000,1864.0000000,10.3157000,364.4110000,6900.0000000,4.4380000,1.7700000
1060.01,APC,2460149.5362260,2.0685633,0.3730000,502.0000000,3.8973900,24.4090000,619.0000000,9.6652000,128.4910000,5687.9000000,4.6000000,1.1400000
1061.01,FP,2458654.2532490,0.5409330,1.6743370,257.3474590,2.2850100,,,9.7345000,133.1710000,5525.0000000,4.2534200,1.2193500
1062.01,CP,2460177.2004290,4.1150576,1.0800000,487.0000000,2.3005700,77.3573000,826.0000000,9.4780000,82.1733000,5394.0000000,4.5094200,0.8900000
1063.01,PC,2458629.3916810,10.0665238,2.4023189,839.9044871,2.7272824,54.8791715,694.1792631,9.0689000,61.1201000,5552.0000000,4.6178300,0.7917420
1064.01,CP,2458656.6684780,6.4438657,1.9309449,1121.9512275,2.4603440,60.8313050,712.2812841,10.0059000,68.0726000,4803.0000000,4.5207900,0.7371890
1064.02,CP,2458664.4901320,12.2265595,2.1904379,1206.3693293,2.6014766,25.8970378,575.3502049,10.0059000,68.0726000,4803.0000000,4.5207900,0.7371890
1065.01,KP,2458654.3479940,2.1603440,1.8288540,19357.9929920,22.5035410,,,13.2851000,639.0040000,5780.0000000,4.3292800,1.2000000
1066.01,KP,2458657.8325370,4.6061840,3.1216430,13793.0348670,12.9622190,,,11.9707000,353.8910000,5670.0000000,4.3925000,1.0700000
1067.01,KP,2458656.9878740,3.1316735,2.4579197,14915.6943722,9.4995191,148.6544991,890.5622134,13.1686000,263.6090000,4351.0000000,4.4380000,0.7670100
1068.01,KP,2458656.6332310,3.1803620,2.1115210,21192.4633240,13.4464870,,,13.2887000,535.3830000,5498.0000000,4.4793400,0.9200000
1069.01,KP,2460147.3787640,2.9776446,2.9620000,13022.0000000,14.4339000,758.3240000,1461.0000000,10.4293000,197.9960000,5703.0000000,4.2582400,1.2200000
107.01,KP,2460176.9933340,3.9502008,4.4440000,13914.0000000,20.5357000,1009.3800000,1570.0000000,9.6433000,211.2110000,6153.0000000,4.1807700,1.7100000
1070.01,FP,2458655.5792410,2.9776152,3.2569700,43218.1116830,26.8842300,873.2700000,1386.5000000,15.7114000,,5740.0000000,4.2921900,1.2800000
1071.01,KP,2458655.3940590,3.5544026,2.0550535,10164.8753396,13.2006770,515.0014435,1214.9876435,11.5803000,290.1980000,5639.0000000,4.3717200,1.1149900
1072.01,FP,2459211.7321460,12.8379689,9.8464123,10539.0192794,25.4886382,374.1290000,1225.0000000,11.7106000,703.8780000,5765.0000000,4.3477300,2.4494000
1073.01,CP,2459036.4728120,3.9228016,1.8736007,31510.9004906,13.3368705,91.1675890,788.0973496,13.6699000,300.6700000,4444.0000000,4.4380000,0.6983000
1074.01,PC,2458662.6526850,13.9428705,3.7522756,1015.3955430,2.4233421,28.0927293,587.1759148,10.6339000,107.3560000,5206.0000000,4.6309500,0.7416710
1075.01,CP,2458654.2495030,0.6047392,1.0403847,1027.6833479,1.8625587,528.0253155,1222.5973095,11.1186000,61.4592000,4046.0000000,4.6096300,0.5803370
1076.01,KP,2458654.1632570,2.5495611,2.6173308,14921.4021936,12.9171288,757.1284067,1337.8645148,11.2474000,248.4600000,5659.0000000,4.4465300,1.0399700
