Classification,Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
1,3.7795212,2.952,2761.0,5.98375,466.528,1294.0,5771.0,4.31,1.18
0,1.2025238,1.991,390.0,6.31106,208477.0,5952.0,9158.0,4.32,1.74
1,4.0872956,5.586113,3572.17125,13.6237732,2242.36054,1755.076738,6036.0,3.93359,2.2186699
0,8.30792,3.228,8350.0,43.1068,2276.25,1924.0,9081.0,3.83,3.05
1,0.758082,1.8184632,583.93181,10.1273702,216218.1005,5499.747633,9917.0,3.75,3.5086601
0,1.4415577,2.349,507.0,3.61078,16861.8,3174.0,6902.0,4.25,1.52
0,3.7039994,4.277,7590.0,17.57,3546.13,2149.0,7013.8,4.21,1.9
0,1.3042553,1.706,914.0,9.36472,26944.7,3569.0,6762.0,4.11,1.75
0,0.62627,0.666,1880.0,5.72162,3235.57,2101.0,5622.0,4.5,0.93
0,0.30412,0.748,1330.0,10.417,280833.0,6413.0,11892.0,4.14,2.52
1,2.1805277,2.969175,16340.13532,16.808853,1770.465054,1654.404068,6599.0,4.21017,1.2714601
1,2.1846669,2.86528,11708.02285,13.7028527,1362.138143,1549.44098,5630.0,4.37759,1.23824
1,3.7354838,4.142,17030.0,21.2315,1292.19,1670.0,6650.0,4.1639,1.57
0,21.701669,8.2676424,211.6567325,2.3751494,52.095,685.2,5625.0,4.438,1.56486
1,9.139804,3.0912936,358.4157801,3.0629855,243.011763,1006.993283,5958.2,4.34,1.58
1,15.5077855,4.565,513.0,2.43432,88.0718,853.0,6122.0,4.30881,1.17
1,17.4713078,4.4284819,1199.754148,3.5766828,53.3700317,689.3568807,5783.54,4.49925,0.974669
1,5.3079507,3.2158594,391.3830934,3.0486928,603.2401116,1263.986113,6124.3,4.38,1.36963
1,51.1701501,6.6641048,851.4547808,2.9366826,11.2148229,466.7322968,5599.0,4.46138,0.943356
1,11.1296441,7.0473822,951.6169809,12.8402271,1255.681716,1518.237249,5785.0,4.344,3.4475601
1,9.4496506,2.021,19750.0,17.0216,38.5799,694.0,5509.0,4.39758,0.94
1,2.8493825,3.567,8049.0,16.3869,2005.83,1864.0,6900.0,4.438,1.77
1,4.1150576,1.08,487.0,2.30057,77.3573,826.0,5394.0,4.50942,0.89
1,10.0665238,2.4023189,839.9044871,2.7272824,54.8791715,694.1792631,5552.0,4.61783,0.791742
1,6.4438657,1.9309449,1121.951228,2.460344,60.831305,712.2812841,4803.0,4.52079,0.737189
1,12.2265595,2.1904379,1206.369329,2.6014766,25.8970378,575.3502049,4803.0,4.52079,0.737189
1,3.1316735,2.4579197,14915.69437,9.4995191,148.6544991,890.5622134,4351.0,4.438,0.76701
1,2.9776446,2.962,13022.0,14.4339,758.324,1461.0,5703.0,4.25824,1.22
1,3.9502008,4.444,13914.0,20.5357,1009.38,1570.0,6153.0,4.18077,1.71
1,3.5544026,2.0550535,10164.87534,13.200677,515.0014435,1214.987644,5639.0,4.37172,1.11499
0,12.8379689,9.8464123,10539.01928,25.4886382,374.129,1225.0,5765.0,4.34773,2.4494
1,3.9228016,1.8736007,31510.90049,13.3368705,91.167589,788.0973496,4444.0,4.438,0.6983
1,13.9428705,3.7522756,1015.395543,2.4233421,28.0927293,587.1759148,5206.0,4.63095,0.741671
1,0.6047392,1.0403847,1027.683348,1.8625587,528.0253155,1222.59731,4046.0,4.60963,0.580337
1,2.5495611,2.6173308,14921.40219,12.9171288,757.1284067,1337.864515,5659.0,4.44653,1.03997
1,1.6062693,1.9561305,16725.30193,12.6436029,844.2700581,1374.801814,5192.0,4.4617,0.984326
1,0.5182425,0.8565249,831.8920424,1.3485121,255.1405815,1019.329598,3325.0,4.88693,0.390989
