Classification,Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
CANDIDATE,7.2406612,0.558,556.0,19.45,68.63,734.0,5005.0,4.595,0.765
CANDIDATE,3.43591631,3.133,23.2,0.55,617.61,1272.0,5779.0,4.339,1.087
CANDIDATE,11.59822233,2.5237,2800.0,2.65,5.82,396.0,3688.0,4.79,0.473
CANDIDATE,6.575315881,4.3084,2790.0,5.31,251.38,1015.0,5992.0,4.415,0.989
CANDIDATE,7.275040844,7.5377,3000.0,4.86,113.64,833.0,5485.0,4.556,0.867
CANDIDATE,19.27153892,2.7594,1220.0,1.93,5.66,393.0,4077.0,4.702,0.56
CANDIDATE,10.06524317,1.369,1050.0,1.91,13.43,488.0,4077.0,4.702,0.56
CANDIDATE,12.3935651,3.8896,917.0,2.66,49.68,677.0,5557.0,4.603,0.75
CANDIDATE,43.84439721,6.802,615.0,2.87,18.77,531.0,5854.0,4.406,1.012
FALSE POSITIVE,3.341913228,3.813,725.0,21.55,268.67,1032.0,5295.0,4.551,0.811
FALSE POSITIVE,1.626630225,2.1145,1620.0,32.43,1355.88,1547.0,5735.0,4.41,0.973
CANDIDATE,2.711504086,3.0099,838.0,3.12,960.79,1420.0,6214.0,4.442,1.076
CANDIDATE,7.21203748,4.0491,950.0,3.32,260.58,1025.0,6214.0,4.442,1.076
FALSE POSITIVE,14.1798187,2.505,460.0,1.88,60.35,711.0,5799.0,4.539,0.878
CANDIDATE,8.47237911,2.7245,1120.0,2.59,75.44,751.0,5354.0,4.587,0.788
CANDIDATE,60.4189369,5.039,931.0,2.36,5.49,390.0,5354.0,4.587,0.788
CANDIDATE,12.61190435,5.1497,6110.0,7.4,76.15,753.0,5795.0,4.508,0.919
FALSE POSITIVE,1.433769925,1.8868,1980.0,46.58,3209.29,1920.0,6017.0,4.22,1.339
FALSE POSITIVE,10.31872301,3.836,872.0,28.59,139.26,876.0,5927.0,4.409,1.06
CANDIDATE,2.539183147,2.4282,382.0,2.06,743.09,1332.0,5519.0,4.35,1.062
CANDIDATE,6.770300385,2.0844,1300.0,2.77,102.87,812.0,5653.0,4.656,0.679
FALSE POSITIVE,0.444291966,2.0792,11000.0,27.51,2706.26,1836.0,5255.0,4.678,0.636
CANDIDATE,10.181584,3.5089,5740.0,7.73,102.91,812.0,5988.0,4.541,0.836
CANDIDATE,20.06036336,3.3203,1490.0,1.96,4.0,361.0,3950.0,4.754,0.493
CANDIDATE,46.1842039,4.758,1390.0,1.83,1.32,273.0,3950.0,4.754,0.493
CANDIDATE,23.9800854,5.351,104.0,1.31,41.94,649.0,5854.0,4.406,1.012
CANDIDATE,7.82502168,2.186,521.0,1.2,14.05,494.0,3950.0,4.754,0.493
CANDIDATE,3.895936525,2.3111,8540.0,7.34,241.62,1005.0,5557.0,4.592,0.774
CANDIDATE,22.36646466,5.228,987.0,2.32,19.45,536.0,5395.0,4.615,0.734
CANDIDATE,1.625522174,2.38963,7970.0,9.73,1467.41,1579.0,5539.0,4.322,1.106
CANDIDATE,19.62034692,2.0038,21700.0,13.6,40.39,643.0,5710.0,4.492,0.905
FALSE POSITIVE,7.544039,6.222,323.0,17.47,116.46,838.0,5657.0,4.567,0.824
CANDIDATE,9.02930689,3.1449,1020.0,2.57,77.75,757.0,5349.0,4.526,0.82
FALSE POSITIVE,10.32803571,7.7915,16900.0,13.28,119.31,843.0,5627.0,4.359,1.024
CANDIDATE,143.2063047,8.9302,10600.0,8.9,2.14,308.0,5485.0,4.556,0.867
CANDIDATE,6.164876,3.262,55.8,0.79,256.35,1021.0,5854.0,4.406,1.012
CANDIDATE,60.32494216,6.6188,20300.0,12.19,6.77,411.0,5485.0,4.556,0.867
CANDIDATE,29.1598615,4.803,488.0,1.91,17.85,524.0,5485.0,4.556,0.867
FALSE POSITIVE,1.540397253,2.1541,816.0,25.69,1105.68,1470.0,5663.0,4.53,0.915
FALSE POSITIVE,2.99025443,5.414,589.0,1.7,168.45,918.0,4667.0,4.578,0.731
CANDIDATE,1.594745374,1.9604,15000.0,11.3,1329.42,1539.0,5934.0,4.491,0.893
CANDIDATE,4.783002698,2.335,1010.0,2.5,145.48,886.0,5170.0,4.574,0.807
CANDIDATE,20.50588921,4.0595,2110.0,3.41,17.06,518.0,4905.0,4.544,0.761
CANDIDATE,3.340218842,1.9104,1630.0,2.03,43.73,656.0,3950.0,4.754,0.493
FALSE POSITIVE,2.507089906,2.0067,1340.0,30.26,730.47,1326.0,5926.0,4.506,0.939
CANDIDATE,18.64932728,4.4056,894.0,3.12,57.13,701.0,5775.0,4.405,1.053
CANDIDATE,4.90144976,4.1654,141.0,1.7,598.74,1262.0,5847.0,4.191,1.402
CANDIDATE,9.75192101,4.793,418.0,2.76,135.66,870.0,5775.0,4.405,1.053
CANDIDATE,38.5576546,5.794,993.0,4.02,21.71,550.0,5775.0,4.405,1.053
CANDIDATE,3.525632539,2.59959,22300.0,11.58,213.12,975.0,5150.0,4.572,0.793
CANDIDATE,34.84398644,2.9315,4520.0,7.61,16.1,511.0,5509.0,4.482,0.871
CANDIDATE,7.748094239,3.5957,2470.0,5.52,204.39,964.0,5973.0,4.439,1.085
CANDIDATE,23.96793669,3.827,1180.0,1.8,2.77,329.0,3747.0,4.728,0.524
CANDIDATE,8.29561738,1.3421,824.0,1.82,11.39,469.0,3747.0,4.728,0.524
CANDIDATE,8.11437482,2.2736,1560.0,2.1,10.55,460.0,3692.0,4.753,0.517
FALSE POSITIVE,38.03672948,4.34617,82900.0,27.5,14.81,500.0,5575.0,4.521,0.932
CANDIDATE,4.64090031,35.512,2450.0,30.09,421.08,1155.0,6463.0,4.5,0.826
FALSE POSITIVE,3.747838198,5.0642,616.0,13.65,266.76,1031.0,5514.0,4.569,0.826
CANDIDATE,14.74914825,6.0995,430.0,2.89,137.91,874.0,5847.0,4.191,1.402
CANDIDATE,21.81295996,4.3791,1180.0,3.38,39.33,639.0,5601.0,4.41,0.999
FALSE POSITIVE,7.91936937,3.3148,15100.0,10.34,104.0,814.0,5690.0,4.588,0.776
CANDIDATE,1.028436523,1.8606,8100.0,72.77,3400.48,1947.0,6228.0,4.428,0.99
CANDIDATE,15.37562369,3.3169,15300.0,11.01,30.54,600.0,4986.0,4.496,0.833
CANDIDATE,8.10363271,3.161,888.0,2.11,52.82,687.0,4861.0,4.574,0.732
CANDIDATE,4.71510843,2.506,418.0,1.46,108.84,823.0,4861.0,4.574,0.732
CANDIDATE,6.365839713,2.9721,781.0,2.44,165.33,914.0,5776.0,4.554,0.849
FALSE POSITIVE,5.97581754,3.065,962.0,3.86,284.25,1047.0,6108.0,4.471,0.997
FALSE POSITIVE,2.446737317,4.7211,1180.0,26.25,597.19,1261.0,5764.0,4.548,0.863
