Classification,Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
1,6.770300385,2.0844,1300,2.77,102.87,812,5653,4.656,0.679
0,0.444291966,2.0792,11000,27.51,2706.26,1836,5255,4.678,0.636
1,10.181584,3.5089,5740,7.73,102.91,812,5988,4.541,0.836
1,20.06036336,3.3203,1490,1.96,4,361,3950,4.754,0.493
1,46.1842039,4.758,1390,1.83,1.32,273,3950,4.754,0.493
1,23.9800854,5.351,104,1.31,41.94,649,5854,4.406,1.012
1,7.82502168,2.186,521,1.2,14.05,494,3950,4.754,0.493
1,3.895936525,2.3111,8540,7.34,241.62,1005,5557,4.592,0.774
0,0,0,0,0,0,0,0,0,0
1,22.36646466,5.228,987,2.32,19.45,536,5395,4.615,0.734
1,1.625522174,2.38963,7970,9.73,1467.41,1579,5539,4.322,1.106
1,19.62034692,2.0038,21700,13.6,40.39,643,5710,4.492,0.905
0,7.544039,6.222,323,17.47,116.46,838,5657,4.567,0.824
1,9.02930689,3.1449,1020,2.57,77.75,757,5349,4.526,0.82
0,10.32803571,7.7915,16900,13.28,119.31,843,5627,4.359,1.024
1,143.2063047,8.9302,10600,8.9,2.14,308,5485,4.556,0.867
1,6.164876,3.262,55.8,0.79,256.35,1021,5854,4.406,1.012
1,60.32494216,6.6188,20300,12.19,6.77,411,5485,4.556,0.867
1,29.1598615,4.803,488,1.91,17.85,524,5485,4.556,0.867
0,1.540397253,2.1541,816,25.69,1105.68,1470,5663,4.53,0.915
0,2.99025443,5.414,589,1.7,168.45,918,4667,4.578,0.731
1,1.594745374,1.9604,15000,11.3,1329.42,1539,5934,4.491,0.893
1,4.783002698,2.335,1010,2.5,145.48,886,5170,4.574,0.807
1,20.50588921,4.0595,2110,3.41,17.06,518,4905,4.544,0.761
1,3.340218842,1.9104,1630,2.03,43.73,656,3950,4.754,0.493
0,2.507089906,2.0067,1340,30.26,730.47,1326,5926,4.506,0.939
1,18.64932728,4.4056,894,3.12,57.13,701,5775,4.405,1.053
1,4.90144976,4.1654,141,1.7,598.74,1262,5847,4.191,1.402
1,9.75192101,4.793,418,2.76,135.66,870,5775,4.405,1.053
1,38.5576546,5.794,993,4.02,21.71,550,5775,4.405,1.053
1,3.525632539,2.59959,22300,11.58,213.12,975,5150,4.572,0.793
1,34.84398644,2.9315,4520,7.61,16.1,511,5509,4.482,0.871
1,7.748094239,3.5957,2470,5.52,204.39,964,5973,4.439,1.085
0,1,1,1,1,1,1,1,1,1
1,23.96793669,3.827,1180,1.8,2.77,329,3747,4.728,0.524
1,8.29561738,1.3421,824,1.82,11.39,469,3747,4.728,0.524
1,8.11437482,2.2736,1560,2.1,10.55,460,3692,4.753,0.517
0,38.03672948,4.34617,82900,27.5,14.81,500,5575,4.521,0.932
1,4.64090031,35.512,2450,30.09,421.08,1155,6463,4.5,0.826
0,3.747838198,5.0642,616,13.65,266.76,1031,5514,4.569,0.826
1,14.74914825,6.0995,430,2.89,137.91,874,5847,4.191,1.402
1,21.81295996,4.3791,1180,3.38,39.33,639,5601,4.41,0.999
0,7.91936937,3.3148,15100,10.34,104,814,5690,4.588,0.776
1,1.028436523,1.8606,8100,72.77,3400.48,1947,6228,4.428,0.99
1,15.37562369,3.3169,15300,11.01,30.54,600,4986,4.496,0.833
1,8.10363271,3.161,888,2.11,52.82,687,4861,4.574,0.732
1,4.71510843,2.506,418,1.46,108.84,823,4861,4.574,0.732
1,6.365839713,2.9721,781,2.44,165.33,914,5776,4.554,0.849
0,5.97581754,3.065,962,3.86,284.25,1047,6108,4.471,0.997
0,2.446737317,4.7211,1180,26.25,597.19,1261,5764,4.548,0.863
1,3.04033046,1.8411,10900,8.99,257.29,1021,5035,4.519,0.791
1,15.33528675,3.897,3080,5,32.67,610,5251,4.581,0.817
1,7.95825328,4.377,50,1.06,314.15,1074,5847,4.191,1.402
1,31.33046135,5.176,5070,6.5,12.61,481,5251,4.581,0.817
0,3.9043425,3.831,16200,12.28,351.05,1104,5810,4.526,0.898
0,9.286358079,3.49949,44800,17.61,95.03,796,5670,4.523,0.821
